Solving 9×9 grid using CONSTRAINT PROGRAMMING
Method: OR-Tools CP-SAT (guaranteed optimal)

Testing config 1... → 16.0 tiles
  ★ NEW BEST: 16.0 tiles
Testing config 2... → 16.0 tiles
Testing config 3... → 16.0 tiles
Testing config 4... → 16.0 tiles
Testing config 5... → 16.0 tiles
Testing config 6... → 16.0 tiles
Testing config 7... → 16.0 tiles
Testing config 8... → 16.0 tiles
Testing config 9... → 16.0 tiles
Testing config 10... → 16.0 tiles
Testing config 11... → 16.0 tiles
Testing config 12... → 15.0 tiles
  ★ NEW BEST: 15.0 tiles
Testing config 13... → 16.0 tiles
Testing config 14... → 16.0 tiles
Testing config 15... → 15.0 tiles
Testing config 16... → 16.0 tiles
Testing config 17... → 16.0 tiles
Testing config 18... → 16.0 tiles
Testing config 19... → 16.0 tiles
Testing config 20... → 16.0 tiles
Testing config 21... → 16.0 tiles
Testing config 22... → 16.0 tiles
Testing config 23... → 16.0 tiles
Testing config 24... → 16.0 tiles
Testing config 25... → 16.0 tiles
Testing config 26... → 16.0 tiles
Testing config 27... → 16.0 tiles
Testing config 28... → 16.0 tiles
Testing config 29... → 16.0 tiles
Testing config 30... → 16.0 tiles
Testing config 31... → 16.0 tiles
Testing config 32... → 16.0 tiles
Testing config 33... → 16.0 tiles
Testing config 34... → 16.0 tiles
Testing config 35... → 16.0 tiles
Testing config 36... → 15.0 tiles
Testing config 37... → 16.0 tiles
Testing config 38... → 15.0 tiles
Testing config 39... → 16.0 tiles
Testing config 40... → 16.0 tiles
Testing config 41... → 16.0 tiles
Testing config 42... → 15.0 tiles
Testing config 43... → 16.0 tiles
Testing config 44... → 15.0 tiles
Testing config 45... → 15.0 tiles
Testing config 46... → 16.0 tiles
Testing config 47... → 16.0 tiles
Testing config 48... → 15.0 tiles
Testing config 49... → 16.0 tiles
Testing config 50... → 16.0 tiles
Testing config 51... → 16.0 tiles
Testing config 52... → 15.0 tiles
Testing config 53... → 15.0 tiles
Testing config 54... → 16.0 tiles
Testing config 55... → 15.0 tiles
Testing config 56... → 16.0 tiles
Testing config 57... → 16.0 tiles
Testing config 58... → 16.0 tiles
Testing config 59... → 16.0 tiles
Testing config 60... → 15.0 tiles
Testing config 61... → 16.0 tiles
Testing config 62... → 16.0 tiles
Testing config 63... → 15.0 tiles
Testing config 64... → 16.0 tiles
Testing config 65... → 16.0 tiles
Testing config 66... → 16.0 tiles
Testing config 67... → 16.0 tiles
Testing config 68... → 15.0 tiles
Testing config 69... → 16.0 tiles
Testing config 70... → 15.0 tiles
Testing config 71... → 15.0 tiles
Testing config 72... → 16.0 tiles
Testing config 73... → 16.0 tiles
Testing config 74... → 16.0 tiles
Testing config 75... → 15.0 tiles
Testing config 76... → 16.0 tiles
Testing config 77... → 16.0 tiles
Testing config 78... → 15.0 tiles
Testing config 79... → 15.0 tiles
Testing config 80... → 16.0 tiles
Testing config 81... → 15.0 tiles
Testing config 82... → 16.0 tiles
Testing config 83... → 16.0 tiles
Testing config 84... → 16.0 tiles
Testing config 85... → 15.0 tiles
Testing config 86... → 16.0 tiles
Testing config 87... → 15.0 tiles
Testing config 88... → 16.0 tiles
Testing config 89... → 16.0 tiles
Testing config 90... → 16.0 tiles
Testing config 91... → 16.0 tiles
Testing config 92... → 16.0 tiles
Testing config 93... → 16.0 tiles
Testing config 94... → 16.0 tiles
Testing config 95... → 16.0 tiles
Testing config 96... → 16.0 tiles
Testing config 97... → 16.0 tiles
Testing config 98... → 16.0 tiles
Testing config 99... → 16.0 tiles
Testing config 100... → 16.0 tiles
Testing config 101... → 16.0 tiles
Testing config 102... → 16.0 tiles
Testing config 103... → 16.0 tiles
Testing config 104... → 16.0 tiles
Testing config 105... → 16.0 tiles
Testing config 106... → 16.0 tiles
Testing config 107... → 16.0 tiles
Testing config 108... → 15.0 tiles
Testing config 109... → 16.0 tiles
Testing config 110... → 16.0 tiles
Testing config 111... → 15.0 tiles
Testing config 112... → 16.0 tiles
Testing config 113... → 16.0 tiles
Testing config 114... → 16.0 tiles
Testing config 115... → 16.0 tiles
Testing config 116... → 16.0 tiles
Testing config 117... → 16.0 tiles
Testing config 118... → 16.0 tiles
Testing config 119... → 16.0 tiles
Testing config 120... → 16.0 tiles
Testing config 121... → 16.0 tiles
Testing config 122... → 16.0 tiles
Testing config 123... → 16.0 tiles
Testing config 124... → 16.0 tiles
Testing config 125... → 16.0 tiles
Testing config 126... → 16.0 tiles
Testing config 127... → 16.0 tiles
Testing config 128... → 16.0 tiles
Testing config 129... → 16.0 tiles
Testing config 130... → 16.0 tiles
Testing config 131... → 16.0 tiles
Testing config 132... → 15.0 tiles
Testing config 133... → 16.0 tiles
Testing config 134... → 16.0 tiles
Testing config 135... → 15.0 tiles
Testing config 136... → 16.0 tiles
Testing config 137... → 16.0 tiles
Testing config 138... → 16.0 tiles
Testing config 139... → 16.0 tiles
Testing config 140... → 16.0 tiles
Testing config 141... → 16.0 tiles
Testing config 142... → 16.0 tiles
Testing config 143... → 16.0 tiles
Testing config 144... → 16.0 tiles
Testing config 145... → 16.0 tiles
Testing config 146... → 16.0 tiles
Testing config 147... → 16.0 tiles
Testing config 148... → 16.0 tiles
Testing config 149... → 16.0 tiles
Testing config 150... → 16.0 tiles
Testing config 151... → 16.0 tiles
Testing config 152... → 16.0 tiles
Testing config 153... → 16.0 tiles
Testing config 154... → 16.0 tiles
Testing config 155... → 16.0 tiles
Testing config 156... → 15.0 tiles
Testing config 157... → 16.0 tiles
Testing config 158... → 15.0 tiles
Testing config 159... → 16.0 tiles
Testing config 160... → 16.0 tiles
Testing config 161... → 16.0 tiles
Testing config 162... → 15.0 tiles
Testing config 163... → 16.0 tiles
Testing config 164... → 15.0 tiles
Testing config 165... → 15.0 tiles
Testing config 166... → 16.0 tiles
Testing config 167... → 16.0 tiles
Testing config 168... → 15.0 tiles
Testing config 169... → 16.0 tiles
Testing config 170... → 15.0 tiles
Testing config 171... → 15.0 tiles
Testing config 172... → 16.0 tiles
Testing config 173... → 16.0 tiles
Testing config 174... → 16.0 tiles
Testing config 175... → 16.0 tiles
Testing config 176... → 16.0 tiles
Testing config 177... → 16.0 tiles
Testing config 178... → 16.0 tiles
Testing config 179... → 16.0 tiles
Testing config 180... → 15.0 tiles
Testing config 181... → 16.0 tiles
Testing config 182... → 15.0 tiles
Testing config 183... → 16.0 tiles
Testing config 184... → 16.0 tiles
Testing config 185... → 16.0 tiles
Testing config 186... → 15.0 tiles
Testing config 187... → 16.0 tiles
Testing config 188... → 14.0 tiles
  ★ NEW BEST: 14.0 tiles
Testing config 189... → 15.0 tiles
Testing config 190... → 15.0 tiles
Testing config 191... → 15.0 tiles
Testing config 192... → 15.0 tiles
